epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2544,1.71115,10.1227,1.39683,0.00111,0.33333,0.00091,0.00064,1.60813,12.677,1.28788,2e-05,2e-05,2e-05
2,16.9859,1.61293,7.40238,1.27639,0.00111,0.33333,0.00122,0.00073,1.40032,10.0699,1.1909,5.92575e-05,5.92575e-05,5.92575e-05
3,22.0228,1.44127,6.65456,1.21888,0.20227,0.33333,0.11311,0.09786,1.21423,7.14217,1.06927,9.7525e-05,9.7525e-05,9.7525e-05
4,26.9641,0.52424,24.3787,0.53047,0.73742,0.9497,0.9125,0.71415,0.93262,5.58667,0.92068,0.000134803,0.000134803,0.000134803
5,31.7063,1.0046,3.11686,1.01011,1,0.98388,0.995,0.81279,0.77166,4.01157,0.86648,0.00017109,0.00017109,0.00017109
6,36.7187,0.8114,2.41528,0.93964,0.97609,1,0.995,0.8134,0.76555,3.79284,0.84195,0.000206388,0.000206388,0.000206388
7,41.2975,0.9038,2.26057,0.89241,0.98244,1,0.995,0.8134,0.75369,3.09564,0.84483,0.000240695,0.000240695,0.000240695
8,46.1797,0.95286,4.00356,1.18168,1,0.60889,0.83,0.68115,1.04115,3.7737,0.88594,0.000274012,0.000274012,0.000274012
9,50.9221,1.07469,2.20721,0.96837,0.58012,1,0.753,0.61841,0.87233,3.59985,0.84563,0.00030634,0.00030634,0.00030634
10,55.4582,0.90114,2.19015,0.82872,0.92103,1,0.995,0.85154,0.70544,3.32534,0.82921,0.000337677,0.000337677,0.000337677
11,60.3864,0.84647,2.67152,0.85271,0.95666,1,0.995,0.73007,0.99868,2.98469,0.90103,0.000368025,0.000368025,0.000368025
12,65.5648,0.99475,2.6194,0.90165,0.91024,1,0.995,0.69707,1.0501,2.96196,0.91537,0.000397383,0.000397383,0.000397383
13,70.373,0.845,1.41666,0.84499,0.97522,1,0.995,0.73007,1.03306,2.6498,0.91156,0.00042575,0.00042575,0.00042575
14,75.1815,1.08006,1.60991,0.97008,0.58543,1,0.597,0.39831,1.10501,3.16375,0.8963,0.000453128,0.000453128,0.000453128
15,79.837,0.98083,1.60164,0.97998,0.58055,1,0.64133,0.46241,1.04904,2.88032,0.87739,0.000479515,0.000479515,0.000479515
16,84.5611,1.23322,1.62311,1.12344,0.97782,1,0.995,0.73007,0.90657,2.01249,0.85318,0.000504913,0.000504913,0.000504913
17,89.2084,0.72866,1.34087,0.95792,0.98393,1,0.995,0.75204,0.8411,1.87687,0.84054,0.00052932,0.00052932,0.00052932
18,93.8858,0.69227,1.05876,0.93468,0.9804,1,0.995,0.76324,0.83583,2.26459,0.83431,0.000552738,0.000552738,0.000552738
19,99.4063,0.78572,1.06075,0.86786,1,0.94305,0.995,0.76324,0.85469,2.7073,0.83205,0.000575165,0.000575165,0.000575165
20,104.836,0.69744,1.16361,0.87336,1,0.96925,0.995,0.71928,0.83178,2.24973,0.82232,0.000596603,0.000596603,0.000596603
21,111.914,0.62865,0.82671,0.8158,0.99098,1,0.995,0.80757,0.7279,1.63121,0.80877,0.00061705,0.00061705,0.00061705
22,118.68,1.20632,1.44401,1.49189,0.97934,1,0.995,0.84037,0.67102,1.34037,0.80054,0.000636507,0.000636507,0.000636507
23,124.841,0.71122,0.96756,0.85832,0.96689,1,0.995,0.84037,0.62196,1.76174,0.81158,0.000654975,0.000654975,0.000654975
24,130.949,0.69086,1.05549,0.90157,0.92301,1,0.995,0.84037,0.62883,2.05615,0.8086,0.000672452,0.000672452,0.000672452
25,137.075,0.80593,1.21923,0.95842,0.99694,1,0.995,0.84037,0.59513,1.89544,0.81462,0.00068894,0.00068894,0.00068894
26,143.115,0.79841,0.68783,0.90493,1,0.96623,0.995,0.75766,0.79407,2.12851,0.85119,0.000704437,0.000704437,0.000704437
27,149.052,0.75946,0.71228,0.85043,1,0.93114,0.995,0.78557,0.77227,2.5242,0.8519,0.000718945,0.000718945,0.000718945
28,155.07,0.5837,0.68166,0.81555,1,0.93114,0.995,0.78557,0.77227,2.5242,0.8519,0.000732463,0.000732463,0.000732463
29,161.119,0.6712,0.69274,0.86425,1,0.93566,0.995,0.74161,0.8763,2.60716,0.84364,0.00074499,0.00074499,0.00074499
