epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,167.018,0.82289,1.02409,0.96633,0.97626,1,0.995,0.73007,0.98439,2.33432,0.85014,0.000756527,0.000756527,0.000756527
31,172.854,0.75548,0.73222,0.91652,0.97626,1,0.995,0.73007,0.98439,2.33432,0.85014,0.000767075,0.000767075,0.000767075
32,178.782,0.68141,0.68504,0.87379,0.97415,1,0.995,0.80757,0.87833,1.80045,0.82519,0.000776633,0.000776633,0.000776633
33,184.704,0.64282,0.63188,0.91019,0.97469,1,0.995,0.82957,0.7443,1.55318,0.81443,0.0007852,0.0007852,0.0007852
34,190.531,0.37012,2.17504,0.45852,0.97469,1,0.995,0.82957,0.7443,1.55318,0.81443,0.000792777,0.000792777,0.000792777
35,196.618,0.64398,0.6252,0.85003,0.96488,1,0.995,0.85154,0.67393,1.44664,0.80854,0.000799365,0.000799365,0.000799365
36,202.569,0.6681,0.6681,0.85569,0.97858,1,0.995,0.86254,0.65126,1.01793,0.79782,0.000804962,0.000804962,0.000804962
37,208.625,0.71047,1.05197,0.69857,0.97858,1,0.995,0.86254,0.65126,1.01793,0.79782,0.00080957,0.00080957,0.00080957
38,214.733,0.76855,0.66004,0.89896,0.98174,1,0.995,0.8955,0.57569,0.89478,0.7805,0.000813187,0.000813187,0.000813187
39,220.871,0.92618,1.08802,1.01773,0.97463,1,0.995,0.8955,0.57047,1.08543,0.78176,0.000815815,0.000815815,0.000815815
40,226.775,0.57783,0.5871,0.78789,0.97463,1,0.995,0.8955,0.57047,1.08543,0.78176,0.000817452,0.000817452,0.000817452
41,233.068,0.65261,0.61129,0.84555,0.9622,1,0.995,0.8955,0.696,1.01957,0.81937,0.0008181,0.0008181,0.0008181
42,239.416,0.75549,0.59162,0.8255,0.95338,1,0.995,0.9067,0.6718,0.90089,0.80026,0.000817758,0.000817758,0.000817758
43,245.406,0.6266,0.58584,0.80966,0.95338,1,0.995,0.9067,0.6718,0.90089,0.80026,0.000816425,0.000816425,0.000816425
44,251.706,0.61848,0.63637,0.88185,0.95798,1,0.995,0.85154,0.60715,0.7963,0.77626,0.000814102,0.000814102,0.000814102
45,257.614,0.72023,0.59116,0.84972,0.95798,1,0.995,0.85154,0.60715,0.7963,0.77626,0.00081079,0.00081079,0.00081079
46,263.562,0.59979,0.50788,0.75412,0.96986,1,0.995,0.92904,0.63382,0.79817,0.79661,0.000806487,0.000806487,0.000806487
47,269.258,0.63542,0.55694,0.84118,0.96986,1,0.995,0.92904,0.63382,0.79817,0.79661,0.000801195,0.000801195,0.000801195
48,275.374,0.66779,0.62435,0.9667,0.97757,1,0.995,0.84037,0.70547,0.69365,0.83065,0.000794913,0.000794913,0.000794913
49,281.099,0.98939,1.15073,1.19956,0.97757,1,0.995,0.84037,0.70547,0.69365,0.83065,0.00078764,0.00078764,0.00078764
50,287.612,0.46837,0.54224,0.73888,0.96989,1,0.995,0.84038,0.63708,0.56036,0.82184,0.000779377,0.000779377,0.000779377
51,294.293,0.66007,0.78784,0.95732,0.96989,1,0.995,0.84038,0.63708,0.56036,0.82184,0.0007625,0.0007625,0.0007625
52,301.455,0.77137,0.78703,0.97052,0.98336,1,0.995,0.84038,0.60723,0.57045,0.82188,0.00073775,0.00073775,0.00073775
53,309.185,0.71769,0.52624,0.85672,0.98336,1,0.995,0.84038,0.60723,0.57045,0.82188,0.000713,0.000713,0.000713
54,317.926,0.56891,0.45202,0.87646,0.98179,1,0.995,0.85159,0.55354,0.64755,0.8037,0.00068825,0.00068825,0.00068825
55,325.648,0.49452,0.43229,0.82252,0.98179,1,0.995,0.85159,0.55354,0.64755,0.8037,0.0006635,0.0006635,0.0006635
56,332.728,0.65327,0.49114,0.84938,0.97921,1,0.995,0.9123,0.55671,0.62559,0.79794,0.00063875,0.00063875,0.00063875
57,339.123,0.68147,0.5961,0.90848,0.97921,1,0.995,0.9123,0.55671,0.62559,0.79794,0.000614,0.000614,0.000614
58,345.355,0.59467,0.51301,0.95659,0.98332,1,0.995,0.8955,0.62581,0.51642,0.80709,0.00058925,0.00058925,0.00058925
59,351.791,0.52418,0.44402,0.82863,0.98332,1,0.995,0.8955,0.62581,0.51642,0.80709,0.0005645,0.0005645,0.0005645
60,358.214,0.60512,0.53178,0.94263,0.98467,1,0.995,0.91233,0.56434,0.49668,0.79393,0.00053975,0.00053975,0.00053975
61,364.381,0.58098,0.74389,0.93366,0.98467,1,0.995,0.91233,0.56434,0.49668,0.79393,0.000515,0.000515,0.000515
62,370.366,0.58975,0.46525,0.93679,0.98523,1,0.995,0.92909,0.47871,0.46683,0.77268,0.00049025,0.00049025,0.00049025
63,376.06,0.46341,0.449,0.81853,0.98523,1,0.995,0.92909,0.47871,0.46683,0.77268,0.0004655,0.0004655,0.0004655
64,382.411,0.6339,0.46391,0.80328,0.98457,1,0.995,0.92911,0.46587,0.4866,0.76887,0.00044075,0.00044075,0.00044075
65,388.384,0.59499,0.49748,0.78305,0.98457,1,0.995,0.92911,0.46587,0.4866,0.76887,0.000416,0.000416,0.000416
66,394.7,0.52897,0.43282,0.86373,0.98392,1,0.995,0.92913,0.50232,0.51526,0.77077,0.00039125,0.00039125,0.00039125
67,400.625,0.52984,0.42426,0.85425,0.98392,1,0.995,0.92913,0.50232,0.51526,0.77077,0.0003665,0.0003665,0.0003665
68,407.153,0.49025,0.45367,0.89939,0.98422,1,0.995,0.92918,0.53403,0.51196,0.77363,0.00034175,0.00034175,0.00034175
69,413.416,0.45019,0.46822,0.79596,0.98422,1,0.995,0.92918,0.53403,0.51196,0.77363,0.000317,0.000317,0.000317
70,419.385,0.41244,0.52857,0.84038,0.98483,1,0.995,0.92924,0.53008,0.46835,0.77164,0.00029225,0.00029225,0.00029225
71,425.426,0.52094,0.43033,0.81296,0.98483,1,0.995,0.92924,0.53008,0.46835,0.77164,0.0002675,0.0002675,0.0002675
72,431.487,0.494,0.46795,0.78157,0.98551,1,0.995,0.92934,0.50642,0.43238,0.76794,0.00024275,0.00024275,0.00024275
73,437.719,0.49509,0.42458,0.74704,0.98551,1,0.995,0.92934,0.50642,0.43238,0.76794,0.000218,0.000218,0.000218
74,444.02,0.46965,0.42883,0.82959,0.9862,1,0.995,0.92943,0.46935,0.40745,0.7649,0.00019325,0.00019325,0.00019325
75,450.049,0.46537,0.38786,0.76597,0.9862,1,0.995,0.92943,0.46935,0.40745,0.7649,0.0001685,0.0001685,0.0001685
76,456.442,0.51621,0.39222,0.78943,0.98626,1,0.995,0.95154,0.44099,0.39912,0.76277,0.00014375,0.00014375,0.00014375
77,462.507,0.41775,0.43031,0.7983,0.98626,1,0.995,0.95154,0.44099,0.39912,0.76277,0.000119,0.000119,0.000119
78,468.69,0.41256,0.39269,0.89441,0.98623,1,0.995,0.9516,0.42389,0.3952,0.76076,9.425e-05,9.425e-05,9.425e-05
79,474.919,0.43186,0.3607,0.86318,0.98623,1,0.995,0.9516,0.42389,0.3952,0.76076,6.95e-05,6.95e-05,6.95e-05
80,481.304,0.42435,0.41841,0.77622,0.98652,1,0.995,0.95173,0.4098,0.39388,0.75975,4.475e-05,4.475e-05,4.475e-05
