epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.9975,1.71115,10.1227,1.39683,0.00111,0.33333,0.00091,0.00064,1.60813,12.677,1.28788,2e-05,2e-05,2e-05
2,15.1087,1.61293,7.40238,1.27639,0.00111,0.33333,0.00122,0.00073,1.40032,10.0699,1.1909,5.92575e-05,5.92575e-05,5.92575e-05
3,19.811,1.44127,6.65456,1.21888,0.20227,0.33333,0.11311,0.09786,1.21423,7.14217,1.06927,9.7525e-05,9.7525e-05,9.7525e-05
4,24.7217,0.52424,24.3787,0.53047,0.73742,0.9497,0.9125,0.71415,0.93262,5.58667,0.92068,0.000134803,0.000134803,0.000134803
